,Star Name,Mass,Radius,Distance
0,54 Piscium,B,53,36.1
1,81 Cancri,CD,,66
2,AB Pictoris,b,13.5,66.6
3,CD−33°7795,b,20,163.08
4,CT Chamaeleontis,b,17,538
5,Eta Coronae Borealis,C,63,58.3
6,G 196-3,b,25,50.2
7,GD 165,B,,103
8,Gliese 570,D,52,19.0
9,GU Piscium,b,11,155.3
10,HD 89744,B,,126.2
11,HD 100546,b,20,337.25
12,HN Pegasi,B,28,58.3
13,LHS 4040 [es],C,,
14,UScoCTIO 108,b,14,473
15,WD 0137-349,B,53,330
16,HD 41004 B,b,18.4,139
17,HD 149382,b,15.5,241
18,COROT-15,b,63.4,
19,Xi Ursae Majoris B,b,37,25.11
20,Upsilon Andromedae,Samh,13.98,43.9
21,Gliese 758,B,23,51.9
22,HD 112758,b,35,53.81
23,BD−04°782,b,21,66.6
24,HD 110833,b,17,55.44
25,HD 89707,b,54,81.54
26,Tau Geminorum,b,18.1,302
27,HAT-P-13,c,15.2,698
28,HD 217580,b,60,58.7
29,HD 16760,b,14.3,163
30,HD 13189,b,14,603.4
31,HD 18445,b,39,83.92
32,HD 8673,b,14,124.75
33,NGC 4349-127,b,19.8,7097
34,Gliese 569,Ba + Bb,116[7],31.5
35,HD 29587,b,40,146.77
36,ChaHα8,b,18,522
37,COROT-20,c,17,4000
38,HD 168443,c,34,123.5
39,HD 38529 A,c,37,138
40,Epsilon Indi,Bb,28,11.8
41,HW Virginis,b,19.23,590
42,DT Virginis,c,12.5,37.55
43,HD 4113,C,60,136
44,Gliese 229,B,40,19
45,TYC 9486-927-1,2MASS J2126-8140,13.3 (± 1.7)  MJ,111
46,Epsilon Indi,Ba,47,11.8
47,HD 131664,b,18.15,180.8
48,HD 136118,b,42,171
49,HD 140913,b,46,156.42
50,GQ Lupi b,b,1-42,400
51,HD 162020,b,15.0,101.95
52,Nu Ophiuchi,b,21.9,152.8
53,HD 164427,b,46,127.52
54,SCR 1845-6357,B,40-50,12.57
55,COROT-3,b,21.66,2220
56,15 Sagittae,B,65,57.7
57,Zeta Delphini,B,55,220
58,HD 202206,b,17.4,151.14
